"house_id","neighbourhood","min","max","days_until_rent","avg_review","n_reviews","building","conservation","size","price","location","dislike_location","unpreserved_property","bigger_in_photos","different_from_the_listing"
892763958,Centro,2018-06-22,2018-06-22,0,,0,0,0,0,0,0,0,0,0,0
892764283,Chacara Primavera,2018-03-15,2018-03-15,0,5.0,1,0,1,1,1,0,0,0,0,0
892764364,Consolação,2018-07-25,2018-07-25,0,3.0,1,0,0,0,0,0,1,0,0,0
892764557,Perdizes,2018-02-26,2018-02-26,0,,0,0,0,0,0,0,0,0,0,0
892764702,Cidade Monções,2018-05-10,2018-06-13,34,3.0,1,0,0,0,0,0,0,1,1,0
892765220,Bela Vista,2018-04-09,2018-08-28,141,3.8,5,0,0,1,1,2,0,3,1,0
892765324,Vila Olímpia,2018-06-20,2018-06-20,0,3.0,1,0,0,0,0,0,0,1,0,0
892765393,Vila Olimpia,2018-06-25,2018-06-27,2,4.0,2,1,1,1,1,1,0,1,0,1
892765429,Cerqueira César,2018-05-15,2018-05-15,0,5.0,1,0,0,1,0,1,0,0,0,0
892766364,Cidade Monções,2018-06-01,2018-06-13,12,5.0,2,1,1,2,0,1,0,0,0,0
892766485,Consolação,2018-01-18,2018-01-18,0,4.0,1,0,0,0,0,0,0,0,1,0
892766611,Bela Vista,2018-04-23,2018-04-23,0,5.0,1,0,0,0,0,1,0,0,0,0
892766788,Vila Clementino,2018-07-12,2018-08-02,21,4.5,2,0,0,1,1,1,0,0,0,0
892767111,Campo Belo,2018-01-15,2018-01-23,8,1.0,1,0,0,0,0,0,0,1,1,1
892767136,Moema,2018-03-27,2018-07-03,98,3.5,4,0,0,0,0,1,0,2,2,0
892767436,Brooklin Paulista,2018-02-08,2018-02-08,0,4.0,1,0,0,0,0,0,0,1,0,0
892767832,Vila do Encontro,2018-08-16,2018-08-16,0,5.0,1,1,1,1,1,0,0,0,0,0
892767928,Centro,2018-07-21,2018-08-18,28,5.0,2,1,1,0,0,2,0,0,0,0
892767967,Vila Eliza,2018-01-18,2018-01-18,0,3.0,1,0,0,0,0,0,0,1,0,0
892768245,Cidade Monções,2018-02-23,2018-02-23,0,4.0,1,0,0,0,0,0,0,1,0,0
892768256,Paraíso,2018-08-04,2018-08-04,0,5.0,1,0,0,0,0,1,0,0,0,0
892768385,Jardim Paulista,2018-01-06,2018-01-23,17,4.0,2,1,1,1,0,1,0,0,1,0
892769221,Jardim Paulista,2018-08-25,2018-08-25,0,2.0,1,0,0,0,0,0,0,1,0,0
892769994,Centro,2018-03-07,2018-04-14,38,4.0,2,0,0,1,1,1,0,1,0,0
892770195,Brooklin Paulista,2018-06-20,2018-06-25,5,4.5,2,0,0,0,0,1,0,0,0,0
892770325,Brooklin Paulista,2018-05-07,2018-07-13,67,4.0,2,0,0,1,0,1,1,1,0,0
892770409,Jardim Paulista,2018-06-09,2018-06-15,6,5.0,2,0,1,2,1,1,0,0,0,0
892770608,Moema,2018-05-07,2018-05-07,0,5.0,1,1,1,1,0,1,0,0,0,0
892770619,Consolação,2018-04-14,2018-06-05,52,4.0,3,0,0,0,0,1,1,0,1,0
892770640,Brooklin Paulista,2018-01-05,2018-01-27,22,5.0,2,2,1,2,1,2,0,0,0,0
892770690,Centro,2018-03-29,2018-03-29,0,5.0,1,1,1,1,1,1,0,0,0,0
892770744,Bela Vista,2018-01-30,2018-03-05,34,4.0,3,0,0,0,1,0,1,1,0,0
892770960,Jardim Paulista,2018-06-01,2018-06-28,27,4.0,1,0,0,0,0,0,0,1,0,0
892771083,Campo Belo,2018-01-20,2018-01-20,0,5.0,1,1,0,1,0,1,0,0,0,0
892771152,Campo Belo,2018-06-22,2018-06-22,0,,0,0,0,0,0,0,0,0,0,0
892771413,Brooklin Paulista,2018-02-26,2018-02-26,0,,0,0,0,0,0,0,0,0,0,0
892771426,Pinheiros,2018-08-20,2018-08-20,0,,0,0,0,0,0,0,0,0,0,0
892771490,Indianópolis,2018-07-23,2018-08-29,37,4.0,3,0,1,1,1,0,0,0,0,0
892771541,Vila Nova Conceição,2018-04-06,2018-04-06,0,5.0,1,1,1,1,0,1,0,0,0,0
892771951,Brooklin Paulista,2018-03-10,2018-03-10,0,4.5,2,1,1,0,0,1,0,1,0,0
892772892,Vila Nova Conceição,2018-02-22,2018-02-28,6,3.6666666666666665,3,0,1,0,0,1,0,2,1,1
892772922,Brooklin Paulista,2018-03-09,2018-03-24,15,4.0,1,0,0,0,0,0,0,0,0,1
892772999,Vila Clementino,2018-01-03,2018-08-16,225,5.0,1,0,0,0,0,1,0,0,0,0
892773005,Vila Clementino,2018-02-26,2018-02-26,0,,0,0,0,0,0,0,0,0,0,0
892773018,Cerqueira César,2018-03-07,2018-03-09,2,2.5,2,0,0,0,0,0,0,1,0,0
892773281,Brooklin Paulista,2018-01-16,2018-02-12,27,3.6666666666666665,3,1,1,1,1,1,0,0,1,0
892773329,Jardim Europa,2018-01-08,2018-01-08,0,,0,0,0,0,0,0,0,0,0,0
892773468,Brooklin Paulista,2018-01-16,2018-01-16,0,5.0,1,0,0,1,0,1,0,0,0,0
